Year,Kiamo,Tema
1960,98.3,95.5
1961,94.7,103.6
1962,117.3,104.1
1963,96.5,82.8
1964,65.3,69.6
1965,93.5,81.3
1966,51.8,59.7
1967,63.3,56.9
1968,148.3,143
1969,69.9,56.1
1970,82.8,67.6
1971,66,131.1
1972,95.5,67.3
1973,175.3,65.3
1974,-9999,62.7
1975,-9999,64
1976,75.4,56.4
1977,71.6,66.5
1978,77.5,53.1
1979,107.7,75.9
1980,85.3,121.9
1981,60.8,114.2
1982,82.3,86.1
1983,46.3,54.8
1984,57.1,56.4
1985,69.5,60.5
1986,69.3,43.6
1987,84.6,78.8
1988,157.9,86.7
1989,62.7,49.6
1990,53,74.5
1991,157.2,88.6
1992,79.3,88.3
1993,51,81
1994,63.4,70.7
1995,243.9,129.4
1996,75.3,116.7
1997,124.1,119.7
1998,150.7,56.1
1999,92.8,53.1
2000,57,42.2
2001,81.1,73
2002,123.3,96
2003,119.8,69.6
2004,97.6,37
2005,72,87.6
2006,67.3,59.8
2007,68.3,83.6
2008,151,86.2
2009,70.8,51.6
2010,122,74.8
2011,97.7,103.7
2012,47.9,57.2
2013,61,48.4
2014,99.5,73.1
2015,212.8,142.3
2016,182.5,73.1
2017,80.1,180.4
2018,92.6,67.4
2019,86.5,55
2020,51.6,62.9
2021,39.6,61.6
2022,139.7,75.9
